Referência,Consumo,Água,serv. diver,Venc.,Correção,ValorJuros,%Juros,Multa,%Multa,Atual
01/2014,0,"45,75","9,15",20/02/14,"79,19","32,66","0,0167","2,68",2,"169,43"
02/2014,0,"45,75","9,15",20/03/14,"78,68","32,4","0,0167","2,67",2,"168,65"
03/2014,0,"45,75","9,15",22/04/14,"76,48","32,1","0,0167","2,63",2,"166,11"
04/2014,0,"45,75","9,15",20/05/14,"75,47","31,84","0,0167","2,61",2,"164,82"
05/2014,0,"45,75","9,15",20/06/14,"75,64","31,56","0,0167","2,61",2,"164,71"
06/2014,0,"45,75","9,15",21/07/14,"76,61","31,27","0,0167","2,63",2,"165,41"
07/2014,0,"45,75","9,15",20/08/14,"77,42",31,"0,0167","2,65",2,"165,97"
08/2014,0,"45,75","9,15",19/09/14,"77,78","30,72","0,0167","2,65",2,"166,05"
09/2014,0,"45,75","9,15",20/10/14,"77,51","30,44","0,0167","2,65",2,"165,5"
10/2014,0,"45,75","9,15",20/11/14,"77,14","30,15","0,0167","2,64",2,"164,83"
11/2014,0,"45,75","9,15",22/12/14,"75,86","29,86","0,0167","2,62",2,"163,24"
12/2014,0,"45,75","9,15",20/01/15,"70,45","29,6","0,0167","2,51",2,"157,46"
01/2015,0,"47,4","9,45",20/02/15,"71,98","30,35","0,0167","2,58",2,"161,76"
02/2015,0,"47,4","9,45",20/03/15,"71,63","30,09","0,0167","2,57",2,"161,14"
03/2015,0,"47,4","9,45",22/04/15,"70,38","29,77","0,0167","2,54",2,"159,54"
04/2015,0,"47,4","9,45",20/05/15,"68,91","29,51","0,0167","2,52",2,"157,79"
05/2015,0,"47,4","9,45",22/06/15,"68,4","29,19","0,0167","2,5",2,"156,94"
06/2015,0,"47,4","9,45",20/07/15,"67,56","28,93","0,0167","2,49",2,"155,83"
07/2015,0,9,"14,14",20/08/15,"27,15","11,66","0,0167","1,01",2,"62,96"
08/2015,0,9,"14,14",21/09/15,"27,01","11,53","0,0167",1,2,"62,68"
09/2015,0,9,"14,14",20/10/15,"26,54","11,42","0,0167","0,99",2,"62,09"
10/2015,0,9,"14,14",20/11/15,"25,62","11,3","0,0167","0,98",2,"61,04"
11/2015,0,9,"14,14",21/12/15,"24,89","11,18","0,0167","0,96",2,"60,17"
12/2015,0,9,"14,14",20/01/16,"24,66","11,06","0,0167","0,96",2,"59,82"
01/2016,0,9,"15,63",22/02/16,"25,67","11,64","0,0167","1,01",2,"62,95"
02/2016,0,9,"15,63",21/03/16,"25,03","11,53","0,0167","0,99",2,"62,18"
03/2016,0,9,"15,63",20/04/16,"24,78","11,4","0,0167","0,99",2,"61,8"
04/2016,0,"9,9","15,63",20/05/16,"25,51","11,69","0,0167","1,02",2,"63,75"
05/2016,0,"9,9","15,63",20/06/16,"25,1","11,56","0,0167","1,01",2,"63,2"
06/2016,0,"9,9","15,63",20/07/16,"24,76","11,43","0,0167","1,01",2,"62,73"
07/2016,0,"9,9","15,63",22/08/16,"24,67","11,29","0,0167",1,2,"62,49"
08/2016,0,"9,9","15,63",21/09/16,"24,6","11,16","0,0167",1,2,"62,29"
09/2016,0,"9,9","15,63",20/10/16,"24,5","11,04","0,0167",1,2,"62,07"
10/2016,0,"9,9","15,63",21/11/16,"24,42","10,9","0,0167",1,2,"61,85"
01/2017,0,"10,6","16,75",20/02/17,"25,53","11,26","0,0167","1,06",2,"65,2"
02/2017,0,"10,6","16,75",20/03/17,"25,49","11,14","0,0167","1,06",2,"65,04"
03/2017,0,"10,6","16,75",20/04/17,"25,48","10,99","0,0167","1,06",2,"64,88"
04/2017,0,"10,6","16,75",22/05/17,"25,67","10,85","0,0167","1,06",2,"64,93"
05/2017,0,"10,6","16,75",20/06/17,"25,67","10,72","0,0167","1,06",2,"64,8"
06/2017,0,"10,6","16,75",20/07/17,"25,67","10,58","0,0167","1,06",2,"64,66"
07/2017,0,"10,6","16,75",21/08/17,"25,67","10,43","0,0167","1,06",2,"64,51"
08/2017,0,"10,6","16,75",21/09/17,"25,62","10,29","0,0167","1,06",2,"64,32"
09/2017,0,"10,6","16,75",20/10/17,"25,37","10,16","0,0167","1,05",2,"63,93"
10/2017,0,"10,6","16,75",20/11/17,"25,27","10,02","0,0167","1,05",2,"63,69"
11/2017,0,"10,6","16,75",20/12/17,25,"9,88","0,0167","1,05",2,"63,28"
12/2017,0,"10,6","16,75",22/01/18,"24,53","9,73","0,0167","1,04",2,"62,65"
01/2018,0,"10,6","16,75",20/02/18,"24,14","9,6","0,0167","1,03",2,"62,12"
02/2018,0,"10,6","16,75",20/03/18,"24,11","9,47","0,0167","1,03",2,"61,96"
03/2018,0,"10,6","16,75",20/04/18,"23,78","9,33","0,0167","1,02",2,"61,48"
04/2018,0,"10,6","16,75",21/05/18,"23,49","9,19","0,0167","1,02",2,"61,05"
05/2018,0,"10,6","16,75",20/06/18,"22,8","9,05","0,0167",1,2,"60,2"
06/2018,0,"10,6","16,75",20/07/18,"21,88","8,91","0,0167","0,98",2,"59,12"
07/2018,0,"10,6","16,75",20/08/18,"21,63","8,77","0,0167","0,98",2,"58,73"
08/2018,0,"10,6","16,75",21/09/18,"21,29","8,62","0,0167","0,97",2,"58,23"
09/2018,0,"10,6","16,75",22/10/18,"20,56","8,48","0,0167","0,96",2,"57,35"
10/2018,0,"10,6","16,75",20/11/18,"20,14","8,35","0,0167","0,95",2,"56,79"
11/2018,0,"10,6","16,75",20/12/18,"20,14","8,21","0,0167","0,95",2,"56,65"
12/2018,0,"10,6","16,75",21/01/19,"20,14","8,07","0,0167","0,95",2,"56,51"
01/2019,10,"11,4","18,22",20/02/19,"21,8","8,59","0,0167","1,03",2,"61,04"
02/2019,10,"11,4","18,22",20/03/19,"21,35","8,45","0,0167","1,02",2,"60,44"
03/2019,10,"11,4","18,22",20/04/19,"20,72","8,3","0,0167","1,01",2,"59,65"
04/2019,10,"11,4","18,22",20/05/19,"20,26","8,15","0,0167",1,2,"59,03"
05/2019,10,"11,4","18,22",20/06/19,"20,04","7,99","0,0167","0,99",2,"58,64"
06/2019,10,"11,4","18,22",20/07/19,"19,64","7,85","0,0167","0,99",2,"58,1"
07/2019,10,"11,4","18,22",20/08/19,"19,45","7,69","0,0167","0,98",2,"57,74"
08/2019,10,"11,4","18,22",20/09/19,"19,45","7,54","0,0167","0,98",2,"57,59"
